Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability per pair and bandwidth,2,200.0Gbps,11,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,13,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,6,5, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,12,9, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,1,2, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,13,9, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,10,12, ,0.0,0.0,0.0,0.003669724770642202,0.0,0.0,0.0017331022530329288,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,6,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,14,13, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,10,7, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,4,1, ,0.0,0.0,0.0018148820326678765,0.0,0.0,0.005474452554744526,0.0,0.0018248175182481751,0.0,0.001851851851851852
Blocking probability per pair and bandwidth,2,200.0Gbps,14,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,13,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,1,4, ,0.0,0.005385996409335727,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,12,13, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,5,1, ,0.0196078431372549,0.05179282868525897,0.041666666666666664,0.036521739130434785,0.05964912280701754,0.03088803088803089,0.051056338028169015,0.051233396584440226,0.03180212014134275,0.03197158081705151
Blocking probability per pair and bandwidth,2,200.0Gbps,9,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,2,1, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,9,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,12,1, ,0.2548262548262548,0.2670250896057348,0.24107142857142858,0.25318761384335153,0.2761061946902655,0.2053742802303263,0.23062730627306274,0.25136612021857924,0.2768361581920904,0.26277372262773724
Blocking probability per pair and bandwidth,2,200.0Gbps,13,11, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,7,13, ,0.4123134328358209,0.43529411764705883,0.4272030651340996,0.43920145190562615,0.4601113172541744,0.3861566484517304,0.44181818181818183,0.5068762278978389,0.3707865168539326,0.41947565543071164
Blocking probability per pair and bandwidth,2,200.0Gbps,8,10, ,0.38596491228070173,0.37457627118644066,0.34558823529411764,0.3207207207207207,0.35435992578849723,0.3502626970227671,0.3555166374781086,0.3592592592592593,0.43037974683544306,0.39464285714285713
Blocking probability per pair and bandwidth,2,200.0Gbps,3,11, ,0.250936329588015,0.27350427350427353,0.3146853146853147,0.3062730627306273,0.2565543071161049,0.35604770017035775,0.3532608695652174,0.2899305555555556,0.3684210526315789,0.39723661485319517
Blocking probability per pair and bandwidth,2,200.0Gbps,4,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,11,5, ,0.023636363636363636,0.03756708407871199,0.04316546762589928,0.021611001964636542,0.007285974499089253,0.02564102564102564,0.03518518518518519,0.051094890510948905,0.009328358208955223,0.029876977152899824
Blocking probability per pair and bandwidth,2,200.0Gbps,3,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,12,2, ,0.40597539543058,0.43154246100519933,0.37251356238698013,0.3188976377952756,0.33773584905660375,0.3191126279863481,0.4236983842010772,0.36510791366906475,0.3496376811594203,0.33013435700575816
Blocking probability per pair and bandwidth,2,200.0Gbps,14,7, ,0.420863309352518,0.45486725663716815,0.45817490494296575,0.5110294117647058,0.5,0.4181184668989547,0.4626334519572954,0.4822429906542056,0.4093457943925234,0.4675324675324675
Blocking probability per pair and bandwidth,2,200.0Gbps,1,3, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,3,8, ,0.7968197879858657,0.84,0.7688073394495413,0.7765567765567766,0.7729831144465291,0.798951048951049,0.7885714285714286,0.7832422586520947,0.8436363636363636,0.8096947935368043
Blocking probability per pair and bandwidth,2,200.0Gbps,6,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,6,3, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,11,7, ,0.4737704918032787,0.4586206896551724,0.49214659685863876,0.4616822429906542,0.5357142857142857,0.498134328358209,0.5185840707964602,0.4708904109589041,0.4583333333333333,0.5035460992907801
Blocking probability per pair and bandwidth,2,200.0Gbps,10,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,5,13, ,0.6624775583482945,0.6654804270462633,0.6254355400696864,0.7053406998158379,0.6398537477148081,0.6679035250463822,0.6727272727272727,0.6530973451327433,0.6449912126537786,0.6134751773049646
Blocking probability per pair and bandwidth,2,200.0Gbps,14,2, ,0.7627118644067796,0.7455968688845401,0.7414448669201521,0.7164750957854407,0.6673076923076923,0.6876155268022182,0.7864768683274022,0.7282809611829945,0.7290909090909091,0.7366609294320138
Blocking probability per pair and bandwidth,2,200.0Gbps,10,13, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,14,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,6,2, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,8,14, ,0.3782771535580524,0.3236301369863014,0.36331569664902996,0.375,0.3411978221415608,0.31647940074906367,0.36745886654478976,0.3729641693811075,0.29597197898423816,0.29347826086956524
Blocking probability per pair and bandwidth,2,200.0Gbps,8,12, ,0.1413237924865832,0.09108159392789374,0.09911504424778761,0.14579439252336449,0.1492007104795737,0.09689213893967093,0.13059033989266547,0.125,0.08208955223880597,0.13553113553113552
Blocking probability per pair and bandwidth,2,200.0Gbps,3,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,4,2, ,0.0,0.0,0.0035087719298245615,0.0,0.0,0.0036036036036036037,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,6,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,7,2, ,0.6414728682170543,0.6240740740740741,0.558983666061706,0.596958174904943,0.5868372943327239,0.631762652705061,0.5785582255083179,0.5762411347517731,0.5231053604436229,0.5373665480427047
Blocking probability per pair and bandwidth,2,200.0Gbps,12,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,10,8, ,0.2786596119929453,0.42780748663101603,0.4343065693430657,0.3890977443609023,0.3493282149712092,0.35855855855855856,0.41929499072356213,0.3220338983050847,0.3943894389438944,0.3351063829787234
Blocking probability per pair and bandwidth,2,200.0Gbps,14,9, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,2,4, ,0.001851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,14,11, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,3,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,12,4, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017211703958691911,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,13,5, ,0.6208791208791209,0.6096256684491979,0.6178707224334601,0.657088122605364,0.7049469964664311,0.5491228070175439,0.5977859778597786,0.6587155963302752,0.6164874551971327,0.6257088846880907
Blocking probability per pair and bandwidth,2,200.0Gbps,1,7, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,2,7, ,0.6123893805309735,0.6463620981387479,0.6363636363636364,0.6535714285714286,0.675146771037182,0.6141304347826086,0.6373626373626373,0.6405109489051095,0.5641476274165202,0.631578947368421
Blocking probability per pair and bandwidth,2,200.0Gbps,3,2, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,14,8, ,0.33444816053511706,0.3680297397769517,0.4003690036900369,0.37919463087248323,0.4016,0.34990791896869244,0.3579136690647482,0.38515901060070673,0.3621908127208481,0.3339517625231911
Blocking probability per pair and bandwidth,2,200.0Gbps,10,5, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,10,14, ,0.023166023166023165,0.03231292517006803,0.025466893039049237,0.014336917562724014,0.016483516483516484,0.02729044834307992,0.050699300699300696,0.024029574861367836,0.015625,0.023214285714285715
Blocking probability per pair and bandwidth,2,200.0Gbps,5,2, ,0.07553956834532374,0.07971014492753623,0.061511423550087874,0.06412478336221837,0.045774647887323945,0.05253940455341506,0.07652173913043478,0.05019305019305019,0.05904761904761905,0.05185185185185185
Blocking probability per pair and bandwidth,2,200.0Gbps,7,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,3,200.0Gbps,5,3, ,0.3104125736738703,0.31190926275992437,0.30564784053156147,0.29219600725952816,0.2536231884057971,0.27807486631016043,0.2504472271914132,0.26737967914438504,0.19600725952813067,0.1593625498007968
Blocking probability per pair and bandwidth,3,200.0Gbps,10,2, ,0.5280701754385965,0.5093632958801498,0.5457875457875457,0.47676419965576594,0.0017482517482517483,0.5018050541516246,0.007259528130671506,0.45119705340699817,0.005154639175257732,0.0
Blocking probability per pair and bandwidth,3,200.0Gbps,9,7, ,0.13619402985074627,0.07734806629834254,0.10526315789473684,0.07894736842105263,0.1359724612736661,0.11829944547134935,0.13926499032882012,0.11641221374045801,0.14311926605504588,0.19864176570458403
Blocking probability per pair and bandwidth,3,200.0Gbps,13,4, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0
Blocking probability per pair and bandwidth,3,200.0Gbps,14,5, ,0.9136690647482014,0.8690909090909091,0.9013282732447818,0.8991769547325102,0.8690909090909091,0.8835616438356164,0.8763837638376384,0.8987341772151899,0.874031007751938,0.8977072310405644
Blocking probability per pair and bandwidth,3,200.0Gbps,2,10, ,0.49404761904761907,0.5850694444444444,0.5360443622920518,0.4595070422535211,0.48613678373382624,0.4655493482309125,0.42574257425742573,0.4293785310734463,0.46774193548387094,0.5054945054945055
Blocking probability per pair and bandwidth,3,200.0Gbps,7,11, ,0.5636363636363636,0.5073529411764706,0.5695970695970696,0.5161290322580645,0.5486111111111112,0.5236427320490368,0.47584973166368516,0.507380073800738,0.5584642233856894,0.5767195767195767
Blocking probability per pair and bandwidth,3,200.0Gbps,3,4, ,0.0,0.005405405405405406,0.0,0.00375234521575985,0.0055248618784530384,0.0,0.0,0.0,0.0,0.014134275618374558
Blocking probability per pair and bandwidth,3,200.0Gbps,4,5, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,3,200.0Gbps,7,5, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
