Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability per pair,2,all,14,3, ,0.3757115749525617,0.45985401459854014,0.39304347826086955,0.36330935251798563,0.33815551537070526,0.27932960893854747,0.35578583765112265,0.3409893992932862,0.4203152364273205,0.3792517006802721
Blocking probability per pair,2,all,12,3, ,0.8673835125448028,0.8838095238095238,0.9267857142857143,0.9092526690391459,0.936247723132969,0.893491124260355,0.8779527559055118,0.8911070780399274,0.9163498098859315,0.9059500959692899
Blocking probability per pair,2,all,5,14, ,0.9965397923875432,0.9982174688057041,1.0,0.9963898916967509,1.0,0.9929203539823008,0.9981481481481481,1.0,1.0,0.9891107078039928
Blocking probability per pair,2,all,7,1, ,0.05225225225225225,0.035650623885918005,0.029310344827586206,0.029411764705882353,0.04847396768402154,0.03333333333333333,0.025974025974025976,0.03903345724907063,0.0446927374301676,0.031078610603290677
Blocking probability per pair,2,all,12,11, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,2,all,2,3, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,2,all,10,4, ,0.6238532110091743,0.664783427495292,0.6985294117647058,0.6429906542056075,0.6476683937823834,0.6120689655172413,0.6,0.5716981132075472,0.6472727272727272,0.603415559772296
Blocking probability per pair,2,all,10,11, ,0.5176252319109462,0.5665467625899281,0.5851851851851851,0.5,0.5836363636363636,0.5284974093264249,0.5518590998043053,0.5349716446124764,0.5105633802816901,0.5978062157221207
Blocking probability per pair,2,all,12,7, ,0.8393162393162393,0.8914728682170543,0.8610567514677103,0.8636363636363636,0.8832391713747646,0.8581560283687943,0.8882466281310212,0.8670411985018727,0.8794326241134752,0.8492201039861352
Blocking probability per pair,2,all,9,1, ,0.3445692883895131,0.3890977443609023,0.4124293785310734,0.37755102040816324,0.4020979020979021,0.45595854922279794,0.3902439024390244,0.41947565543071164,0.41760299625468167,0.36626916524701875
